,userId,incomeCountBeforeLoan,totalIncomeBeforeLoan,firstIncomeDayBeforeLoan,lastIncomeDayBeforeLoan,spendCountBeforeLoan,totalSpendBeforeLoan,salaryCountBeforeLoan,totalSalaryBeforeLoan,nonSalaryIncomeBeforeLoan,overSpendBeforeLoan,avgIncomeBeforeLoan,avgSalaryIncomeBeforeLoan,salaryIncomePercentileBeforeLoan,incomeCountAfterLoan,totalIncomeAfterLoan,firstIncomeDayAfterLoan,lastIncomeDayAfterLoan,spendCountAfterLoan,totalSpendAfterLoan,salaryCountAfterLoan,totalSalaryAfterLoan,nonSalaryIncomeAfterLoan,overSpendAfterLoan,avgIncomeAfterLoan,avgSalaryIncomeAfterLoan,salaryIncomePercentileAfterLoan
0,1,35.0,480.69276199999996,68113.0,68419.0,51.0,676.025269,,,,195.33250700000002,47.78127944716775,,,,,,,,,,,,,,,
1,3,172.0,2278.873445999999,0.0,68451.0,507.0,4985.957607000013,,,,2707.084161000014,1.0126328904252673,,,,,,,,,,,,,,,
2,4,96.0,1164.3423839999998,0.0,68456.0,195.0,2129.4257220000018,,,,965.083338000002,0.5173456553114408,,,,,,,,,,,,,,,
3,9,13.0,186.83325100000002,0.0,68456.0,11.0,141.544665,,,,-45.28858600000001,0.0830145599789159,,,,,,,,,,,,,,,
4,10,71.0,895.0892999999999,68210.0,68458.0,106.0,1268.6612889999994,,,,373.5719889999996,109.78077772177417,,,70.0,898.5528330000003,68464.0,68573.0,77.0,981.6312410000003,,,,83.07840799999997,250.74295416284411,,
5,14,521.0,6856.993312999991,0.0,68457.0,729.0,7960.811363000001,,,,1103.8180500000099,3.046684487153733,,,,,,,,,,,,,,,
6,16,35.0,478.2641859999998,68091.0,68443.0,75.0,935.2013570000001,,,,456.9371710000003,41.327279330018925,,,,,,,,,,,,,,,
7,21,243.0,3206.609742000001,0.0,68449.0,584.0,6319.6813120000015,,,,3113.0715700000005,1.4249204466464087,,,,,,,,,,,,,,,
8,22,9.0,125.210545,68388.0,68447.0,19.0,221.04881500000005,,,,95.83827000000005,64.55063407485875,,,,,,,,,,,,,,,
9,23,161.0,1805.5219070000012,68097.0,68454.0,388.0,3827.869687000007,,,,2022.347780000006,153.831815138889,,,,,,,,,,,,,,,
10,25,141.0,1728.2081170000006,0.0,68458.0,261.0,2603.6208,,,,875.4126829999996,0.7678624883200894,,,66.0,719.9928889999998,68459.0,68538.0,152.0,1404.9684390000011,,,,684.9755500000014,277.21245198839654,,
11,26,5.0,59.42454600000001,68381.0,68447.0,42.0,485.86975899999993,,,,426.4452129999999,27.38631223484849,,,,,,,,,,,,,,,
12,29,92.0,1095.0479740000007,68238.0,68458.0,392.0,3817.191219000008,,,,2722.1432450000075,151.39867822348495,,,111.0,1378.0513760000003,68459.0,68604.0,331.0,3558.5846060000026,,,,2180.5332300000023,289.07399554023,,
13,31,400.0,4721.020925000015,68095.0,68451.0,1465.0,15801.772237000137,,,,11080.751312000122,403.3643814665275,,,,,,,,,,,,,,,
14,32,95.0,1225.1224350000005,68085.0,68444.0,251.0,2848.0220490000024,,,,1622.899614000002,103.7998349059889,,,,,,,,,,,,,,,
15,33,50.0,589.4688210000002,68377.0,68457.0,153.0,1631.3916569999988,,,,1041.9228359999986,224.12095798437508,,,150.0,1797.161229999999,68459.0,68584.0,382.0,4154.5031890000055,,,,2357.3419590000067,437.3092326333331,,
16,35,27.0,372.4512080000001,68101.0,68427.0,51.0,644.7951969999999,,,,272.3439889999998,34.7506878629857,,,,,,,,,,,,,,,
17,36,201.0,2563.227630000001,68237.0,68458.0,423.0,5300.764972999986,2.0,26.086215000000003,2537.1414150000014,2737.5373429999845,352.7820833144798,3.5902973133484166,0.010177096522636965,288.0,3897.8767670000034,68459.0,68595.0,575.0,7452.963368999985,,,,3555.086601999981,871.7677818351723,,
